Number,Question,Difficulty
0,Test Question: What is the capital of Finland?, 2
1,How many years is a century?,0
2,Number of bones in the human body,1
3,Define the word dromomania,1
4,At what temperature does water boil?,0
5,List the 3 blood groups of cats,1
6,List the four cardinal points,1
7,What are the three largest countries in the world (from largest to smallest),1
8,What is the melting temperature of aluminum?,1
9,Define the word candle.,1
10,The capital of which country is the city of Rome?,0
11, Meaning of the word ineffable,1
12,What are the three largest fish in the world (from largest to smallest)?,1
13,How far is Barcelona from Madrid?,1
14,How many days are in a year?,0
15,Year in which the first traffic light was installed,1
16,What are the three longest rivers in Argentina (from longest to shortest),1
17,Indicate the meaning of the word pray,1
18,What is the height of the tallest building in the world located in Dubai?,1
19,List the seasons of the year,0
20,Define the word bank.,1
21,How many seconds are there in a minute?,0
22,How many days are there in a week?,0
23,In the Autonomous City of Buenos Aires what is the maximum speed on streets in urban areas?,1
24,How far is Bariloche from the Autonomous City of Buenos Aires?,1
25,Meaning of the word lacanophobia,1
26,Define the word handcreme,1
27,Give the definition of the word everlasting,1
28,What are the three smallest mammals (from smallest to largest),1
29,What are the two least populated cities in the world (from smallest to largest),1
30,How far is Paris from Berlin?,1
31,What are the first three countries where the Olympic Games were held in the modern era (from oldest to newest),1
32,In what year did Hungary join the European Union?,1
33,In what year was the Gioconda better known as the Mona Lisa finished painting?,1
34,What is the boiling point of platinum?,1
35,What is the boiling point of mercury?,1
